participant_id,treatmentGroup,treatment_group_numeric,phase,trialNum,user_response,is_correct,csv_ground_truth_binary,csv_ai_probability,confidence,time_sec,userID,age,gender,education,residence,healthcareQualification,completionStatus,browserInfo,screenResolution,randomizationSeed,cognitive_score,big5_conscientiousness,big5_openness,big5_neuroticism,big5_extroversion,big5_agreeableness,trial_id_key,trialType,imageID,initial_decision,decision_revised,dropdown_choice,bbox_iou,initial_confidence,post_ai_confidence,csv_ground_truth_raw,csv_ai_prediction,csv_bbox_area_pct,csv_original_image_name,csv_overlay_path,ai_confidence,ai_prediction,ai_box_x,ai_box_y,ai_box_width,ai_box_height,user_box_x,user_box_y,user_box_width,user_box_height,timestamp_unix,original_response,original_final_decision
1rvna53qf3,treatment,1,baseline,1,0,,,,1.0,1.471,1rvna53qf3,26-35,female,phd,budapest,none,completed,Synthetic Generator 2.0,1920x1080,473253,7,56,94,47,89,69,baseline_1,baseline,/annotation/baseline/1.png,,,,,,,,,,,,,,,,,,,,,,1763699110,0.0,
1rvna53qf3,treatment,1,baseline,2,0,,,,2.0,3.955,1rvna53qf3,26-35,female,phd,budapest,none,completed,Synthetic Generator 2.0,1920x1080,473253,7,56,94,47,89,69,baseline_2,baseline,/annotation/baseline/2.png,,,,,,,,,,,,,,,,,,,,,,1763699115,0.0,
1rvna53qf3,treatment,1,baseline,3,0,,,,5.0,3.938,1rvna53qf3,26-35,female,phd,budapest,none,completed,Synthetic Generator 2.0,1920x1080,473253,7,56,94,47,89,69,baseline_3,baseline,/annotation/baseline/3.png,,,,,,,,,,,,,,,,,,,,,,1763699120,0.0,
1rvna53qf3,treatment,1,baseline,4,1,,,,6.0,1.571,1rvna53qf3,26-35,female,phd,budapest,none,completed,Synthetic Generator 2.0,1920x1080,473253,7,56,94,47,89,69,baseline_4,baseline,/annotation/baseline/4.png,,,,,,,,,,,,,,,,,,,,,,1763699122,1.0,
1rvna53qf3,treatment,1,baseline,5,0,,,,2.0,4.136,1rvna53qf3,26-35,female,phd,budapest,none,completed,Synthetic Generator 2.0,1920x1080,473253,7,56,94,47,89,69,baseline_5,baseline,/annotation/baseline/5.png,,,,,,,,,,,,,,,,,,,,,,1763699128,0.0,
1rvna53qf3,treatment,1,experiment,1,0,,,,,6.594,1rvna53qf3,26-35,female,phd,budapest,none,completed,Synthetic Generator 2.0,1920x1080,473253,7,56,94,47,89,69,experiment_1,experiment,/annotation/experiment/1.png,0.0,False,nincsen tünet,,4.0,5.0,,,,,,0.8562378131277077,0.0,,,,,,,,,1763699135,,0.0
1rvna53qf3,treatment,1,experiment,2,0,,,,,12.066,1rvna53qf3,26-35,female,phd,budapest,none,completed,Synthetic Generator 2.0,1920x1080,473253,7,56,94,47,89,69,experiment_2,experiment,/annotation/experiment/2.png,0.0,False,nincsen tünet,,1.0,1.0,,,,,,0.9878854740401447,0.0,,,,,,,,,1763699148,,0.0
1rvna53qf3,treatment,1,experiment,3,1,,,,,12.968,1rvna53qf3,26-35,female,phd,budapest,none,completed,Synthetic Generator 2.0,1920x1080,473253,7,56,94,47,89,69,experiment_3,experiment,/annotation/experiment/3.png,1.0,False,tünet,0.22625940850032833,2.0,4.0,,,,,,0.8991282179221936,1.0,30.0,58.0,100.0,100.0,62.0,85.0,100.0,100.0,1763699162,,1.0
1rvna53qf3,treatment,1,experiment,4,1,,,,,14.698,1rvna53qf3,26-35,female,phd,budapest,none,completed,Synthetic Generator 2.0,1920x1080,473253,7,56,94,47,89,69,experiment_4,experiment,/annotation/experiment/4.png,1.0,False,tünet,0.16802556006544397,6.0,7.0,,,,,,0.9387832186203778,1.0,74.0,27.0,100.0,100.0,25.0,85.0,100.0,100.0,1763699178,,1.0
1rvna53qf3,treatment,1,experiment,5,1,,,,,7.726,1rvna53qf3,26-35,female,phd,budapest,none,completed,Synthetic Generator 2.0,1920x1080,473253,7,56,94,47,89,69,experiment_5,experiment,/annotation/experiment/5.png,1.0,False,tünet,0.06989512121507624,1.0,2.0,,,,,,0.92099713735111,1.0,66.0,67.0,100.0,100.0,56.0,11.0,100.0,100.0,1763699187,,1.0
